1	Ok	ok	AV0	ADV	[1, 3)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
53	all	all	DT0	ADJ	[160, 163)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
54	the	the	AT0	ART	[163, 166)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
55	school	school	NN1	SUBST	[166, 172)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
56	's	be	VBZ	VERB	[172, 174)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
57	all	all	AV0	ADV	[174, 177)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
58	around	around	AVP-PRP	ADV	[177, 183)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
59	,		PUN		[183, 184)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
60	not	not	XX0	ADV	[184, 187)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
61	just	just	AV0	ADV	[187, 191)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
62	Harlow	harlow	NP0	SUBST	[191, 197)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
63	but	but	CJC	CONJ	[197, 200)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
64	Hoddesdon	hoddesdon	NP0	SUBST	[200, 209)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
65	Hertford	hertford	NP0	SUBST	[209, 217)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
66	all	all	DT0	ADJ	[217, 220)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
67	around	around	PRP-AVP	PREP	[220, 226)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
68	Epping	epping	NP0	SUBST	[226, 232)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
69	to	to	TO0	PREP	[232, 234)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
70	be	be	VBI	VERB	[234, 236)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
71	asked	ask	VVN	VERB	[236, 241)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
72	I	i	PNP	PRON	[241, 242)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
73	'd	would	VM0	VERB	[242, 244)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
74	like	like	VVI	VERB	[244, 248)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
75	artists	artist	NN2	SUBST	[248, 255)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
76	to	to	TO0	PREP	[255, 257)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
77	be	be	VBI	VERB	[257, 259)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
78	asked	ask	VVN	VERB	[259, 264)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
79	from	from	PRP	PREP	[264, 268)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
80	all	all	DT0	ADJ	[268, 271)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
81	around	around	PRP-AVP	PREP	[271, 277)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
82	erm	erm	UNC	UNC	[277, 280)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
83	Essex	essex	NP0	SUBST	[280, 285)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
84	has	have	VHZ	VERB	[285, 288)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
85	a	a	AT0	ART	[288, 289)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
86	directory	directory	NN1	SUBST	[289, 298)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
87	of	of	PRF	PREP	[298, 300)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
88	artists	artist	NN2	SUBST	[300, 307)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
89	Eastern	eastern	AJ0	ADJ	[307, 314)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
90	Arts	art	NN2	SUBST	[314, 318)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
91	has	have	VHZ	VERB	[318, 321)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
92	a	a	AT0	ART	[321, 322)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
93	directory	directory	NN1	SUBST	[322, 331)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
94	of	of	PRF	PREP	[331, 333)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
95	artists	artist	NN2	SUBST	[333, 340)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
96	,		PUN		[340, 341)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
97	I	i	PNP	PRON	[341, 342)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
98	think	think	VVB	VERB	[342, 347)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
99	you	you	PNP	PRON	[347, 350)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
100	could	could	VM0	VERB	[350, 355)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
101	probably	probably	AV0	ADV	[355, 363)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
102	find	find	VVI	VERB	[363, 367)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
103	quite	quite	AV0	ADV	[367, 372)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
104	a	a	AT0	ART	[372, 373)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
105	lot	lot	NN1	SUBST	[373, 376)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
106	of	of	PRF	PREP	[376, 378)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
107	people	people	NN0	SUBST	[378, 384)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
108	.		PUN		[384, 385)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
109	I	i	PNP	PRON	[385, 386)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
110	do	do	VDB	VERB	[386, 388)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
111	n't	not	XX0	ADV	[388, 391)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
112	think	think	VVI	VERB	[391, 396)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
113	we	we	PNP	PRON	[396, 398)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
114	're	be	VBB	VERB	[398, 401)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
115	very	very	AV0	ADV	[401, 405)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
116	well	well	AV0	ADV	[405, 409)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
117	represented	represent	VVN-VVD	VERB	[409, 420)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
118	here	here	AV0	ADV	[420, 424)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
119	tonight	tonight	AV0	ADV	[424, 431)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
120	and	and	CJC	CONJ	[431, 434)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
121	I	i	PNP	PRON	[434, 435)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
122	think	think	VVB	VERB	[435, 440)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
123	there	there	EX0	PRON	[440, 445)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
124	's	be	VBZ	VERB	[445, 447)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
125	a	a	AT0	ART	[447, 448)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
126	a	a	AT0	ART	[448, 449)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
127	lot	lot	NN1	SUBST	[449, 452)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
128	of	of	PRF	PREP	[452, 454)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
129	not	not	XX0	ADV	[454, 457)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
130	well	well	AV0	ADV	[457, 461)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
131	used	use	VVN	VERB	[461, 465)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
132	a	a	AT0	ART	[465, 466)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
133	terrible	terrible	AJ0	ADJ	[466, 474)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
134	waste	waste	NN1	SUBST	[474, 479)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
135	of	of	PRF	PREP	[479, 481)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
136	space	space	NN1	SUBST	[481, 486)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
137	.		PUN		[486, 487)	8b0d2779-aa91-4b7d-901b-7b1b3d70f513
138	And	and	CJC	CONJ	[487, 490)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
139	we	we	PNP	PRON	[490, 492)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
140	need	need	VVB	VERB	[492, 496)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
141	to	to	TO0	PREP	[496, 498)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
142	say	say	VVI	VERB	[498, 501)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
143	that	that	DT0-CJT	ADJ	[501, 505)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
144	you	you	PNP	PRON	[505, 508)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
145	know	know	VVB	VERB	[508, 512)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
146	I	i	PNP	PRON	[512, 513)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
147	do	do	VDB	VERB	[513, 515)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
148	n't	not	XX0	ADV	[515, 518)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
149	think	think	VVI	VERB	[518, 523)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
150	that	that	CJT	CONJ	[523, 527)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
151	it	it	PNP	PRON	[527, 529)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
152	's	be	VBZ	VERB	[529, 531)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
153	criminal	criminal	AJ0	ADJ	[531, 539)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
154	to	to	TO0	PREP	[539, 541)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
155	have	have	VHI	VERB	[541, 545)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
156	a	a	AT0	ART	[545, 546)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
157	gallery	gallery	NN1	SUBST	[546, 553)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
158	but	but	CJC	CONJ	[553, 556)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
159	it	it	PNP	PRON	[556, 558)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
160	's	be	VBZ	VERB	[558, 560)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
161	criminal	criminal	AJ0	ADJ	[560, 568)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
162	to	to	TO0	PREP	[568, 570)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
163	waste	waste	VVI	VERB	[570, 575)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
164	the	the	AT0	ART	[575, 578)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
165	space	space	NN1	SUBST	[578, 583)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
166	some	some	DT0	ADJ	[583, 587)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
167	of	of	PRF	PREP	[587, 589)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
168	the	the	AT0	ART	[589, 592)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
169	time	time	NN1	SUBST	[592, 596)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
170	.		PUN		[596, 597)	b3b355b2-98e6-4810-bfeb-f9851d1c05b4
171	Yeah	yeah	ITJ	INTERJ	[597, 601)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
172	,		PUN		[601, 602)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
173	we	we	PNP	PRON	[602, 604)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
174	'll	will	VM0	VERB	[604, 607)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
175	look	look	VVI	VERB	[607, 611)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
176	at	at	PRP	PREP	[611, 613)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
177	that	that	DT0	ADJ	[613, 617)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
178	yeah	yeah	ITJ	INTERJ	[617, 621)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
179	that	that	DT0	ADJ	[621, 625)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
180	's	be	VBZ	VERB	[625, 627)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
181	sort	sort	NN1	SUBST	[627, 631)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
182	of	of	PRF	PREP	[631, 633)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
183	.		PUN		[633, 634)	0a4671f9-a96b-4b1d-949c-752d6ce08ce8
184	Can	can	VM0	VERB	[634, 637)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
185	I	i	PNP	PRON	[637, 638)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
186	just	just	AV0	ADV	[638, 642)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
187	say	say	VVI	VERB	[642, 645)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
188	before	before	CJS	CONJ	[645, 651)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
189	you	you	PNP	PRON	[651, 654)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
190	close	close	VVB	VERB	[654, 659)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
191	,		PUN		[659, 660)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
192	is	be	VBZ	VERB	[660, 662)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
193	a	a	AT0	ART	[662, 663)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
194	you	you	PNP	PRON	[663, 666)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
195	out	out	AVP-PRP	ADV	[666, 669)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
196	a	a	AT0	ART	[669, 670)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
197	hand	hand	NN1	SUBST	[670, 674)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
198	out	out	AVP	ADV	[674, 677)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
199	before	before	CJS-PRP	CONJ	[677, 683)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
200	everybody	everybody	PNI	PRON	[683, 692)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
201	was	be	VBD	VERB	[692, 695)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
202	here	here	AV0	ADV	[695, 699)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
203	can	can	VM0	VERB	[699, 702)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
204	some	some	DT0	ADJ	[702, 706)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
205	more	more	DT0	ADJ	[706, 710)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
206	of	of	PRF	PREP	[710, 712)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
207	those	those	DT0	ADJ	[712, 717)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
208	be	be	VBI	VERB	[717, 719)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
209	run	run	VVN	VERB	[719, 722)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
210	off	off	AVP	ADV	[722, 725)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
211	with	with	PRP	PREP	[725, 729)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
212	a	a	AT0	ART	[729, 730)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
213	questionnaire	questionnaire	NN1	SUBST	[730, 743)	0379ccdd-13e5-4ee0-912f-9f525d44d91c
214	Perhaps	perhaps	AV0	ADV	[743, 750)	f596f8d5-f8c2-4eba-b860-93ce89806465
215	I	i	PNP	PRON	[750, 751)	f596f8d5-f8c2-4eba-b860-93ce89806465
216	should	should	VM0	VERB	[751, 757)	f596f8d5-f8c2-4eba-b860-93ce89806465
217	mention	mention	VVI	VERB	[757, 764)	f596f8d5-f8c2-4eba-b860-93ce89806465
218	now	now	AV0	ADV	[764, 767)	f596f8d5-f8c2-4eba-b860-93ce89806465
219	I	i	PNP	PRON	[767, 768)	f596f8d5-f8c2-4eba-b860-93ce89806465
220	mean	mean	VVB	VERB	[768, 772)	f596f8d5-f8c2-4eba-b860-93ce89806465
221	I	i	PNP	PRON	[772, 773)	f596f8d5-f8c2-4eba-b860-93ce89806465
222	I	i	PNP	PRON	[773, 774)	f596f8d5-f8c2-4eba-b860-93ce89806465
223	I	i	PNP	PRON	[774, 775)	f596f8d5-f8c2-4eba-b860-93ce89806465
224	'm	be	VBB	VERB	[775, 777)	f596f8d5-f8c2-4eba-b860-93ce89806465
225	not	not	XX0	ADV	[777, 780)	f596f8d5-f8c2-4eba-b860-93ce89806465
226	fill	fill	VVB-NN1	VERB	[780, 784)	f596f8d5-f8c2-4eba-b860-93ce89806465
227	in	in	AVP	ADV	[784, 786)	f596f8d5-f8c2-4eba-b860-93ce89806465
228	questionnaire	questionnaire	NN1	SUBST	[786, 799)	f596f8d5-f8c2-4eba-b860-93ce89806465
229	's	's	POS	UNC	[799, 801)	f596f8d5-f8c2-4eba-b860-93ce89806465
230	but	but	CJC	CONJ	[801, 804)	f596f8d5-f8c2-4eba-b860-93ce89806465
231	it	it	PNP	PRON	[804, 806)	f596f8d5-f8c2-4eba-b860-93ce89806465
232	would	would	VM0	VERB	[806, 811)	f596f8d5-f8c2-4eba-b860-93ce89806465
233	it	it	PNP	PRON	[811, 813)	f596f8d5-f8c2-4eba-b860-93ce89806465
234	would	would	VM0	VERB	[813, 818)	f596f8d5-f8c2-4eba-b860-93ce89806465
235	be	be	VBI	VERB	[818, 820)	f596f8d5-f8c2-4eba-b860-93ce89806465
236	helpful	helpful	AJ0	ADJ	[820, 827)	f596f8d5-f8c2-4eba-b860-93ce89806465
237	if	if	CJS	CONJ	[827, 829)	f596f8d5-f8c2-4eba-b860-93ce89806465
238	you	you	PNP	PRON	[829, 832)	f596f8d5-f8c2-4eba-b860-93ce89806465
239	actually	actually	AV0	ADV	[832, 840)	f596f8d5-f8c2-4eba-b860-93ce89806465
240	did	do	VDD	VERB	[840, 843)	f596f8d5-f8c2-4eba-b860-93ce89806465
241	erm	erm	UNC	UNC	[843, 846)	f596f8d5-f8c2-4eba-b860-93ce89806465
242	fill	fill	VVI	VERB	[846, 850)	f596f8d5-f8c2-4eba-b860-93ce89806465
243	in	in	AVP	ADV	[850, 852)	f596f8d5-f8c2-4eba-b860-93ce89806465
244	that	that	DT0	ADJ	[852, 856)	f596f8d5-f8c2-4eba-b860-93ce89806465
245	before	before	CJS	CONJ	[856, 862)	f596f8d5-f8c2-4eba-b860-93ce89806465
246	you	you	PNP	PRON	[862, 865)	f596f8d5-f8c2-4eba-b860-93ce89806465
247	actually	actually	AV0	ADV	[865, 873)	f596f8d5-f8c2-4eba-b860-93ce89806465
248	leave	leave	VVB	VERB	[873, 878)	f596f8d5-f8c2-4eba-b860-93ce89806465
249	this	this	DT0	ADJ	[878, 882)	f596f8d5-f8c2-4eba-b860-93ce89806465
250	evening	evening	NN1	SUBST	[882, 889)	f596f8d5-f8c2-4eba-b860-93ce89806465
251	and	and	CJC	CONJ	[889, 892)	f596f8d5-f8c2-4eba-b860-93ce89806465
252	leave	leave	VVB	VERB	[892, 897)	f596f8d5-f8c2-4eba-b860-93ce89806465
253	it	it	PNP	PRON	[897, 899)	f596f8d5-f8c2-4eba-b860-93ce89806465
254	on	on	PRP-AVP	PREP	[899, 901)	f596f8d5-f8c2-4eba-b860-93ce89806465
255	the	the	AT0	ART	[901, 904)	f596f8d5-f8c2-4eba-b860-93ce89806465
256	on	on	PRP-AVP	PREP	[904, 906)	f596f8d5-f8c2-4eba-b860-93ce89806465
257	the	the	AT0	ART	[906, 909)	f596f8d5-f8c2-4eba-b860-93ce89806465
258	table	table	NN1	SUBST	[909, 914)	f596f8d5-f8c2-4eba-b860-93ce89806465
259	on	on	PRP	PREP	[914, 916)	f596f8d5-f8c2-4eba-b860-93ce89806465
260	the	the	AT0	ART	[916, 919)	f596f8d5-f8c2-4eba-b860-93ce89806465
261	way	way	NN1	SUBST	[919, 922)	f596f8d5-f8c2-4eba-b860-93ce89806465
262	out	out	AVP	ADV	[922, 925)	f596f8d5-f8c2-4eba-b860-93ce89806465
263	if	if	CJS	CONJ	[925, 927)	f596f8d5-f8c2-4eba-b860-93ce89806465
264	that	that	DT0	ADJ	[927, 931)	f596f8d5-f8c2-4eba-b860-93ce89806465
265	's	be	VBZ	VERB	[931, 933)	f596f8d5-f8c2-4eba-b860-93ce89806465
266	possible	possible	AJ0	ADJ	[933, 941)	f596f8d5-f8c2-4eba-b860-93ce89806465
267	I	i	PNP	PRON	[941, 942)	f596f8d5-f8c2-4eba-b860-93ce89806465
268	think	think	VVB	VERB	[942, 947)	f596f8d5-f8c2-4eba-b860-93ce89806465
269	that	that	DT0-CJT	ADJ	[947, 951)	f596f8d5-f8c2-4eba-b860-93ce89806465
270	,		PUN		[951, 952)	f596f8d5-f8c2-4eba-b860-93ce89806465
271	that	that	DT0	ADJ	[952, 956)	f596f8d5-f8c2-4eba-b860-93ce89806465
272	information	information	NN1	SUBST	[956, 967)	f596f8d5-f8c2-4eba-b860-93ce89806465
273	which	which	DTQ	PRON	[967, 972)	f596f8d5-f8c2-4eba-b860-93ce89806465
274	you	you	PNP	PRON	[972, 975)	f596f8d5-f8c2-4eba-b860-93ce89806465
275	put	put	VVB	VERB	[975, 978)	f596f8d5-f8c2-4eba-b860-93ce89806465
276	on	on	PRP	PREP	[978, 980)	f596f8d5-f8c2-4eba-b860-93ce89806465
277	them	they	PNP	PRON	[980, 984)	f596f8d5-f8c2-4eba-b860-93ce89806465
278	would	would	VM0	VERB	[984, 989)	f596f8d5-f8c2-4eba-b860-93ce89806465
279	be	be	VBI	VERB	[989, 991)	f596f8d5-f8c2-4eba-b860-93ce89806465
